,,,,
,,,,
,RETAILER NAME ,REFERENCE SIM,TELEPHONE,IP ADRESSE
,CHAMPION ADIDOGOME,8922801092156700960,70992327,192.168.4.130
,SADIV TOGO SARL,8922801052026928944F,91798595,10.10.7.18
,BIOAFRICA CORPORATION,8922801041458908383,93544038,10.10.6.163
,RAMCO SHOP1,8922801041458908193,,
,DORSI SARL,8922801041458908995,93544099,10.10.6.224
,ESTHETICA 2000,8922801041458908946,93544094,10.10.6.219
,SUPERAMCO ADIDOADE,8922801041458906155,,
,PHARMACIE NOTRE DAME,8922801041458908649,93544064,10.10.6.189
,SIDE TRAVEL & TOURS,8922801042388861551F,71200544,192.168.5.77
,PHARMACIE MICHELLE,8922501041458906213,93543821,10.10.6.121
,PHARMACIE AGOE NYIVE,8922801092156753555F,70997586,192.168.4.182
,PHARMACIE LE BON SAMARITAIN BJV,8922801041458905652,,
,CCT BATIMAT QUINCAILLERIE,8922801041458905892F,93543789,10.10.6.89
,SUPERMARCHE LA CONCORDE,8922801041458908177,,
,APELF,8922801042390707040,71383842,192.168.5.2
,SUPERAMCO ADIDOADE 2,8922801052142363067F,70750230,10.10.7.99
,VLISCO AFRICAN(VLISCO),8922801071916079196F,70542978,10.10.6.124
,LE PATIO 1,8922801092156754801F,70997711,192.168.4.154
,NASCO TRADING PROMOSTORE,8922801041458908086F,,
,LES NUITS D'ORIENT,8922801041458905504,,
,EUROPCAR,8922801041458908151,,
,EUROPCAR,8922801041458908854,,
,EUROPCAR ,8922801041458905694,93543769,10.10.6.69
,SOTIMEX1,8922801041458905413,93543741,10.10.6.41
,LA LYONNAISE,8922801041458905590,,
,PHARMACIE DE LA MAIRIE,8922801052024923368,70596770,10.10.7.59
,UNIVERS SANTE,8922801041458908011,93544001,10.10.6.126
,SUPERAMCO CAISSE RESIDENCE,8922801092156701281F,70992359,192.168.4.98
,SOTIMEX2,8922801041458905587,93543758,10.10.6.58
,PHARMACIE DE L'AEROPORT,8922801102391099472F,71618915,192.168.5.201
,MIAPLENOU,8922801041458908326,,
,VLISCO AFRICAN(WOODIN),8922801071916079295,70542988,10.10.6.233
,RAMCO ASSIVITO,8922801092156754850F,,
,SATGURU INVESTMENT,8922801042388861528F,,
,SPA FLEUR D'EBEN,8922801071916079170,,
,LA SAMARITAINE ATTIKOUME 1,8922801092156700937F,,
,LA SAMARITAINE ATTIKOUME 2,8922801092156701091F,,
,LA SUITE DE CIKA,8922801071916079246F,,
,CCT BATIMAT 1,8922801071916079162F,,
,CLINIQUE DENTAIRE NIFA,8922801041458908052F,,
,KRYSTAL OPTIQUE SARL,8922801041458908540,,
,RAMCO FREE SHOP,8922801092156701414F,,
,PHARMACIE LAUS DEO,8922801041458908870,,
,BLUE TURTLE,8922801041458905843,,
,LA MAIN A LA PATE ETS,8922801041458908045,,
,DIVINE OPTIQUE,8922801041458905777,,
,CONCORDE 2,8922801041458905298,,
,CAFE PARIS LEO2000,8922801041458908722,,
,PHARMACIE LE JOURDAIN,8922801041458906114,,
,RAMCO TOKOIN,8922801071916079212F,,
,RAMCO ASSIVITO,8922801071916079261,,
,CLINIQUE BIASA,8922801071916079345F,,
,CLINIQUE BIASA,8922801052024923483F,,
,ETS DJIBRIL-TRAORE,8922801041458908557,,
,ETS STAND TOFFA,8922801102391099480F,,
,ETS WILAC,8922801041458906122,,
,ESPACE MASSAGE,8922801041458908474,,
,ELHION,8922801041458905439,,
,LUMINA SARL,8922801071916079188,,
,ETS ABCD,8922801041458905579,,
,DA2G,8922801041458908987,,
,CAVE DE LA REPUBLIQUE,8922801041458905819,,
,HOTEL EDA-OBA,8922801041458905801,,
,HOTEL SANCTA MARIA,8922801092156754694F,,
,CLINIQUE AUTEL D ELIE,8922801041458908938,,
,VIDA AFRICA GEL SARL,8922801041458905314,,
,PHIL'S AGOE,8922801041458908094,,
,PHIL'S ADIDOGOME,8922801092153870568,,
,PHARMACIE DES ROSES,8922801041458905793F,,
,PACIFIQUE VOYAGE,8922801052026928845F,,
,CHEZ BROVI,89228010441458905827,,
,CHEZ BROVI 2,8922801042388878555F,,
,LE PETIT BRUSSEL(RECEPTION),8922801041458905512,,
,MICRO LINK 1,8922801041458908847,,
,MICRO LINK 2,8922801041458906163,,
,ANAIS CONCEPT HANOUKOPE,8922801041458905876,,
,ANAIS CONCEPT AEROPORT,8922801092153870691F,,
,NADIAKA,8922801041458906197,,
,GRACE LODGE,8922801042390707057F,,
,VERONICA GUEST HOUSE,8922801092156755048F,,
,HOTEL LE PELICAN,8922801042388861684F,,
,PHARMACIE MAINA,8922801071916079303F,,
,TAST LLER,8922801041458905918,,
,JOVANA BEAUTY HEDRANAWOE,8922801052026928852F,,
,ETS AFANTODJI,8922801052026928712F,,
,ADJOASIKA NA MAWU,8922801041458908920,,
,MULTITUDE AGENCE,8922801052026928785F,,
,MALINA GROUP,8922801042390706836F,,
,CHAMPION MILLENIUM 1,8922801092156701638F,,
,CHAMPION MILLENIUM 5,8922801092156701620F,,
,CHAMPION MILLENIUM 3,8922801092156701612F,,
,CHAMPION OKAVANGO,8922801092156700754,,
,CHAMPION OKAVANGO,8922801092156701182,,
,CHAMPION GRAND MARCHE2,8922801092156753415F,,
,CHAMPION BAGUIDA 2,8922801092156700937F,,
,CHAMPION BAGUIDA 3,8922801092156701091F,,
,CHAMPION AGOE ASSIYEYE 1,8922801092156701216F,,
,CHAMPION ADIDOGOME,8922801092156700945,,
,CHAMPION CASABLANCA,8922801052024864646,,
,CHAMPION CASABLANCA,8922801092156701158,,
,HOTEL SARAKAWA 3,8922801092156753639F,,
,HOTEL SARAKAWA 5,8922801092156753423F,,
,HOTEL SARAKAWA 4,8922801092156754629f,,
,HOTEL SARAKAWA 2,8922801092156753720f,,
,HOTEL SARAKAWA 1,8922801092156755089F,,
,LOUNA BIONA,8922801052026928860F,,
,HOTEL ZIND NAABA,8922801092156701646F,,
,CHAMPION AGOE ASSIYEYE 2,8922801092156701125F,,
,LE PATIO 2,8922801052026928688F,91798418,10.10.7.2
,LE WATT 2,8922801092156753407F,,
,HOTEL LE CLERGE DAFRIQUE,8922801041458906007,,
,TOGOPTIC,8922801052026929041,,
,LE WATT 1,8922801042390706638F,,
,JOVAVA BEAUTY,8922801052026928977F,,
,FIRST LINE TRADING,8922801041458905868,,
,O BALKAN,8922801052026928936F,91798593,10.10.7.17
,PHIL'S MILLENIUM,8922801052026929140F,,
,LE PETIT BRUSSEL,8922801042388861312F,,
,ZARA MALL,8922801052026929074F,,
,LE SALON D'ELLA,8922801052026929157F,,
,PARFUMERIE RAMCO,8922801092156701240F,,
,ODE DESIGN,8922801052026928761F,,
,LA SAMARITAINE SEGBE,8922801052024923350F,,
,LA SAMARITAINE ZANGUERA,8922801092156701117F,,
,CHICHI HOUSE,8922801041458905710,,
,SAMARITAINE ADAKPAME,8922801052024864539F,,
,CHAMPION MILLENIUM 4,8922801092156701075F,,
,CAVE DE LA REPUBLIQUE ASSIVITO,8922801041458905702,93543770,10.10.6.70
,LA VILLA,8922801092156753480F,,
,LA VILLA 2,8922801042390723567F,,
,WINGS'N SHAKE,8922801052024923327F,,
,DAFRIMEX,8922801042390723542,,
,CHAMPION BAGUIDA 1,8922801092156700796F,,
,PHARMACIE EPIPHANIE,8922801052024923194F,,
,SALT SALON VIP 2,8922801052024923301F,,
,SALT SALON VIP 2,8922801092153871616F,,
,TENS SARL,8922801052024923236F,,
,7 DAYS,8922801052024923137F,,
,RAMCO FREE SHOP,8922801092156701166F,,
,PERLES HAIR GBOSSIME,8922801092156753605,,
,HOTEL DU GOLFE,8922801052024923145F,,
,CLINIQUE BARRUET,8922801092156754918F,,
,PHARMACIE HORIZON,8922801041458908417,,
,HOTEL M'RODE,8922801052024923178F,,
,HOTEL M'RODE,8922801052024923152F,,
,LA CHUNGA,8922801052024923442F,,
,CCT BATIMAT 2,8922801052024923228F,,
,PHCIE DU 3 ARRON 2,8922801041458908185,,
,BIG BUUGER FAST FOOD,8922801042390706893F,,
,CHAMPION AGOE CENTRE,8922801092156701042F,,
,CHAMPION AGOE CENTRE,8922801092156700986F,,
,LE PHENICIEN (RECEPTION),8922801042390706745F,,
,SCI KARLIPE,8922801052026929025F,,
,LE PHENICIEN (4IEME ETAGE),8922801102391099506F,,
,CHAMPION MILLENIUM 6,8922801092156700846F,,
,CHAMPION MILLENIUM 2,8922801092156701562F,,
,CHAMPION OKAVANGO,8922801042388861338F,,
,CHAMPION GRAND MARCHE1,8922801092156700887F,,
,CHAMPION GRAND MARCHE3,8922801092156701422F,,
,CHAMPION AGOE ASSIYEYE 3,8922801092156700804F,,
,CHAMPION ADIDOGOME,8922801092156700788,,
,CHAMPION CASABLANCA,8922801092156701430,,
,CHAMPION ADIDOGOME,8922801092156701257,,
,COMPTOIR ESTHER,8922801052024923525F,,
,MAGIC CLUB VOYAGES,8922801052024923541F,,
,DELICE DE LA CAPITALE,8922801092156753798F,,
,PHIL'S KARA,8922801052142363539F,,
,HOTEL KARA,8922801052142363026F,,
,MARCELO BEACH(LA RECEPTION),8922801052024923509F,70596793,10.10.7.62
,DEVEENA,8922801041458908243,,
,ALCOR / (RELAIS DE LA CAISSE),8922801052024923608F,,
,PHARMACIE DELALI,8922801041458906080,,
,LA CASE DU CHEF,8922801052024923517f,,
,HOTEL LA DOUCEUR 1,8922801052142363018F,,
,EL NISSI,8922801052142363588F,,
,HOTEL LA DOUCEUR 2,8922801052024923491F,,
,HOTEL DE FRANCE,8922801052024864273F,,
,PHARMACIE DE L'ESPOIR,8922801052024864562F,,
,PHARMACIE KARA CENTRE,8922801052024864653F,,
,HOTEL PARC RESIDENCE,8922801052142363455F,,
